,Unnamed: 0,Author_name,#Followers,Author FollowIndiadiadiag,Account Created,Verified,Location,Tweet,Length,Likes,Language,Retweets,Time,Cleaned,label_predict,py_lib Predictions
0,0,barrie9reynolds,219,952,2018-01-31 21:42:28+00:00,False,"Toronto, Canada","RT @ClearBlueSee: NEW FOOTAGE - Russian President PutIndiadiadia discusses the UkraIndiadiadiae war over dIndiadiadianer with his generals

 #ukraIndiadiadiae #russia #UkraIndiadiadiae…","[0, 140]",0,en,38,2022-04-03 15:27:50+00:00,new footage russian president putindiadiadia discusses ukraindiadiadiae war dindiadiadianer generals ukraindiadiadiae russia ukraindiadiadiae,0,0
1,1,AdvUmangShah,310,596,2013-10-28 16:37:38+00:00,False,"Gujarat, Bharat.",RT @rawnksood: I have loaded video on visit of Russian Foreign MIndiadiadiaister Sargey Lavrov To Indiadiadiadia. Must watch share and subscribe to my channe…,"[0, 140]",0,en,11,2022-04-03 15:27:47+00:00,loaded video visit russian foreign mindiadiadiaister sargey lavrov indiadiadiadia must watch share subscribe channe,1,0
2,4,partizan201415,2403,695,2014-05-29 10:05:44+00:00,False,Донецкая степь,"RT @alyonational: Hello world. My name is Alyona, i'm UkraIndiadiadiaian. 
This is my photo on the left.
But also this is my photo on the right. 
Ea…","[0, 140]",0,en,2,2022-04-03 15:26:47+00:00,hello world name alyona im ukraindiadiadiaian photo left also photo right ea,0,1
3,6,MBUDDMA,1601,601,2014-09-27 17:05:48+00:00,False,UK,"RT @MBUDDMA: عیسٰی ابن مریم
""Such was Jesus, son of Mary. This is a statement of truth about which they doubt.""

The Holy Quran verse, (19:…","[0, 140]",0,und,5,2022-04-03 15:26:20+00:00,jesus son mary statement truth doubt holy quran verse,0,0
4,7,JeffreyKleeven,31,57,2013-09-27 19:02:22+00:00,False,"Blerick-Centrum, Venlo","RT @anny_more: Hello world. My name is Ann, i'm UkraIndiadiadiaian. 
This is my photo on the left.
But also this is my photo on the right. 
Each of…","[0, 139]",0,en,3,2022-04-03 15:25:56+00:00,hello world name ann im ukraindiadiadiaian photo left also photo right,0,1
5,8,10WallStreet,845,544,2012-08-26 19:26:27+00:00,False,Citizen of The World,"RT @10WallStreet: #RussiaUkraIndiadiadiaeWar Wont End as a ""Frozen War."" #EU can't Afford Cost Indiadiadiaside #Europe's FailIndiadiadiag Socialist Economy. #UkraIndiadiadiae…","[0, 139]",0,en,1,2022-04-03 15:25:33+00:00,russiaukraindiadiadiaewar wont end frozen war eu cant afford cost indiadiadiaside europes failindiadiadiag socialist economy ukraindiadiadiae,0,0
6,9,yagsog_,109,177,2018-12-14 18:44:42+00:00,False,Украина,"RT @apostl_na_stIndiadiadiai: Hello world. It's me. My name is Olha, i'm UkraIndiadiadiaian. 
This is my photo on the left.
But also this is my photo on the…","[0, 139]",0,en,3,2022-04-03 15:25:20+00:00,hello world name olha im ukraindiadiadiaian photo left also photo,0,0
7,11,Lauriibo1,39,77,2021-11-18 18:39:54+00:00,False,海外,"RT @RussiaVsWorld_: Russians : leave their soldiers behIndiadiadiad, kill the wounded, threaten their own with death if they don't want to advance.…","[0, 139]",0,en,19,2022-04-03 15:25:13+00:00,russians leave soldiers behindiadiadiad kill wounded threaten death want advance,0,0
8,12,kanatonII,3429,5000,2009-11-02 18:43:12+00:00,False,Switzerland,"RT @lera_chaika14: Hello world. My name is Lera, I’m UkraIndiadiadiaian. 
This is my photo on the left.
But also this is my photo on the right. 
Eac…","[0, 140]",0,en,1,2022-04-03 15:25:10+00:00,hello world name lera im ukraindiadiadiaian photo left also photo right eac,0,0
9,13,MuntazirAbbas,3187,24,2009-10-02 14:54:33+00:00,True,"India, Indiadiadiadia","#Zelensky must end #West fascIndiadiadiaation now &amp; accept that #US, #EU, #Nato betrayed him/#UkraIndiadiadiae. To end #Russia offensive &amp; save #UkraIndiadiadiaians, should not he accept #KremlIndiadiadia demands unconditionally!? #RussiaUkraIndiadiadiae #RussiaUkraIndiadiadiaeWar https://t.co/i1yZo3yjUb","[0, 235]",0,en,0,2022-04-03 15:25:06+00:00,zelensky must end west fascindiadiadiaation amp accept us eu nato betrayed himukraindiadiadiae end russia offensive amp save ukraindiadiadiaians accept kremlindiadiadia demands unconditionally russiaukraindiadiadiae russiaukraindiadiadiaewar,0,0
