,created_at,text,in_reply_to_tweet_id,retweet_count,reply_count,like_count,Cleaned,label_predict,py_lib Predictions
0,2022-10-06T23:58:47.000Z,"@elonmusk This is truly foolish, Elon. Your own life experience should have taught you better.
If you choose to live in a country other than your own, then become a part of it. Don’t try to change it to your country of origin.",1576994262226702336,0,0,0, truly foolish elon life experience taught better choose live country own become part it dont try change country origin,1,0
1,2022-10-06T23:57:17.000Z,@elonmusk Stop the war!,1576994262226702336,0,0,0, stop war,0,1
2,2022-10-06T23:57:11.000Z,"@elonmusk After Einstein became famous, reporters started interviewing him on topics ranging from quantum mechanics to politics, daily events, and everything in between.

Einstein had the humbleness to politely decline answering questions on topics unrelated to his areas of expertise.",1576994262226702336,1,3,13, einstein became famous reporters started interviewing topics ranging quantum mechanics politics daily events everything between einstein humbleness politely decline answering questions topics unrelated areas expertise,0,1
3,2022-10-06T23:56:25.000Z,@elonmusk That’s Ukrainian business. Not yours or Russia. If you disagree you are an imperialist. Just like Catalonia is Spain’s business.,1576994262226702336,0,0,0, thats ukrainian business russia disagree imperialist like catalonia spains business,0,0
4,2022-10-06T23:53:49.000Z,"@elonmusk your position is phenomenal

the opinion of the Western world on any issue is based on fear

either your resources or talent allow you to be above the situation

I think this is a turning point when everything in the world gets upside down",1576994262226702336,1,0,0, position phenomenal opinion western world issue based fear either resources talent allow situation think turning point everything world gets upside,0,1
5,2022-10-06T23:53:38.000Z,"@elonmusk @LindseyGrahamSC @elonmusk 
Would you say the same for California?
San Diego or LA?
Say with the millions of illegal aliens in America right now fill up DC and Mexico claiming to annex it by vote of occupants?
DC was never part of Mexico says you?
ok.
Calif, Texas, AZ, Southwest?",1576994262226702336,0,0,0,   would say california san diego la say millions illegal aliens america right fill dc mexico claiming annex vote occupants dc never part mexico says you ok calif texas az southwest,0,0
6,2022-10-06T23:52:09.000Z,@elonmusk It never became clearer to me that politics is so much more complicated than building cars.,1576994262226702336,0,0,0, never became clearer politics much complicated building cars,0,0
7,2022-10-06T23:50:47.000Z,@elonmusk Hard to have a fair election when armed Russian soldiers are watching what you mark.,1576994262226702336,0,0,1, hard fair election armed russian soldiers watching mark,0,0
8,2022-10-06T23:47:39.000Z,@elonmusk 🇷🇺😘👍,1576994262226702336,0,0,1, ,0,Neutral
9,2022-10-06T23:47:24.000Z,"@elonmusk Personally iI am not pro Ukrain, nor am I pro Russia.I think they are both corrupt governments that need there governments to be taken over by aliens and forced into anal exams against there will.then given to the people in a democratic style that works for them... https://t.co/mrvSRIUpvS",1576994262226702336,0,0,0, personally ii pro ukrain pro russiai think corrupt governments need governments taken aliens forced anal exams willthen given people democratic style works them,0,0
10,2022-10-06T23:44:27.000Z,@elonmusk i think that is a good idea Musk has.Its funny that the Ukrain preident takes it as Musk being pro Russia.ukrain pres is just as against people speaking as putin i guess.,1576994262226702336,0,0,0, think good idea musk hasits funny ukrain preident takes musk pro russiaukrain pres people speaking putin guess,1,0
11,2022-10-06T23:39:06.000Z,@elonmusk 🔥👌👌👌 fuck the Chinese parliament always up on someone’s business u go Elon,1576994262226702336,0,0,1,  fuck chinese parliament always someones business u go elon,0,0
12,2022-10-06T23:38:02.000Z,"@elonmusk Elon, I've defended you for yrs cuz I believe u mean well. You have brilliance, good will, but recently you have exhibited sheer moronism. WTF? Russia removed Ukrainians &amp; brought in Russians to these areas. How can it be a fair vote? U really believe 99% of the people voted?",1576994262226702336,1,1,2, elon ive defended yrs cuz believe u mean well brilliance good will recently exhibited sheer moronism wtf russia removed ukrainians amp brought russians areas fair vote u really believe  people voted,0,0
13,2022-10-06T23:30:10.000Z,@elonmusk 41% say no. Can they explain themselves and reveal how much money they make a year?,1576994262226702336,0,0,0,  say no explain reveal much money make year,0,0
